"Date","Seeley","Meloland","CalipatriaMulberry","xCalipatriaMulberry","xMeloland","xSeeley"
"2010-01-15",2.83,2.67,2.92,6.54746207358157,6.82757360006912,6.60296180902585
"2010-01-31",2.63,2.59,2.58,3.33710805536454,3.38934887230082,3.43220534314581
"2010-02-16",3.53,3.5,3.4,6.25562899068527,6.11636260365199,6.50261622843536
"2010-03-20",5.01,5.3,4.92,7.52284613363724,7.06103301675596,8.49177451288827
"2010-05-07",7.34,6.86,7.22,11.0917814854569,10.4581301376416,11.3075759184614
"2010-06-08",10.4,9.61,8.35,13.7537286933579,13.1794915537488,14.0418536442683
"2010-06-24",10.28,8.32,6.95,12.7645921585475,9.53714814575975,14.4095863092916
"2010-07-10",8.14,8.04,8.31,11.6817283725984,12.5864850921073,11.7919894721653
"2010-08-11",9.69,8.15,8.06,12.7960269315274,10.8096647805721,13.297268726735
"2010-08-27",6.06,6.46,6.27,13.4624857349372,14.0405796435765,12.442152877473
"2010-09-12",6.41,6.01,5.95,9.43105255891101,9.86187920213084,8.84560261401028
"2010-10-14",4.55,4.5,5.32,6.97273013540295,7.10065773110614,6.8213648470243
"2010-10-30",5.61,4.65,4.3,9.02450989544635,8.11577712921607,9.94554413935578
"2010-11-15",3.38,3.46,3.24,7.37170980962129,6.61207544576632,7.77015157858919
"2010-12-01",2.79,2.75,2.54,5.22267790127927,5.56855800130239,4.87038024831308
"2011-01-18",2.93,2.77,2.46,6.18557038851818,5.75168524729179,6.52574570065403
"2011-02-03",2.65,2.63,2.57,4.89792728393573,4.69202497471513,4.91149023496467
"2011-03-07",5.67,5.66,5.18,9.65275326623797,8.65194183695704,10.6168351417667
"2011-03-15",5.68,4.84,4.19,9.2961170577558,8.52035237463104,10.7466054927009
"2011-03-31",6.23,6.65,6.01,13.2616492393743,13.6185213938442,13.3556262003553
"2011-04-16",6.43,6.64,6.17,11.6611551021764,11.7420931815223,12.1691747281566
"2011-05-10",7.24,7.18,6.67,11.0035845701074,10.4227273290465,11.5914629903796
"2011-05-26",11.88,10.79,8.69,13.5351551267555,11.3078693231063,15.0453420833344
"2011-06-11",8.76,8.35,7.88,11.8101913432688,10.7989274277489,12.1729408367462
"2011-06-27",9.94,8.39,8.02,16.0931966626979,13.3021295030238,17.5705886496784
"2011-07-13",9.73,8.91,7.97,12.0900717927349,9.93150359027288,12.2868086377649
"2011-07-21",9.72,9.06,8.18,13.1716066840973,12.2249931814967,13.5682360672897
"2011-08-06",8.12,7.72,7.59,13.4957315443315,11.5809946247852,14.4547739973392
"2011-08-14",6.8,7.78,7.78,12.5292387284801,13.2577985763087,11.2709756271488
"2011-08-22",6.92,7.45,6.82,9.71317361811334,9.43074100531626,11.613721077161
"2011-08-30",9.54,8.52,7.75,13.2709839490366,13.3211004540569,12.4489220036284
"2011-09-07",6.63,7.19,6.99,10.4708683301475,9.33641346109664,12.5404615297895
